min,Intensity
4.81666667,-410.000000
4.82500000,-408.000000
4.83333333,-409.000000
4.84166667,-410.000000
4.85000000,-410.000000
4.85833333,-411.000000
4.86666667,-403.000000
4.87500000,-403.000000
4.88333333,-402.000000
4.89166667,-404.000000
4.90000000,-403.000000
4.90833333,-402.000000
4.91666667,-401.000000
4.92500000,-402.000000
4.93333333,-401.000000
4.94166667,-396.000000
4.95000000,-352.000000
4.95833333,-353.000000
4.96666667,-354.000000
4.97500000,-353.000000
4.98333333,-353.000000
4.99166667,-353.000000
5.00000000,-353.000000
5.00833333,-400.000000
5.01666667,-403.000000
5.02500000,-401.000000
5.03333333,-401.000000
5.04166667,-401.000000
5.05000000,-401.000000
5.05833333,-402.000000
5.06666667,-402.000000
5.07500000,-401.000000
5.08333333,-401.000000
5.09166667,-401.000000
5.10000000,-401.000000
5.10833333,-404.000000
5.11666667,-402.000000
5.12500000,-403.000000
5.13333333,-401.000000
5.14166667,-355.000000
5.15000000,-382.000000
5.15833333,-402.000000
5.16666667,-402.000000
5.17500000,-402.000000
5.18333333,-403.000000
5.19166667,-404.000000
5.20000000,-403.000000
5.20833333,-403.000000
5.21666667,-402.000000
5.22500000,-402.000000
5.23333333,-403.000000
5.24166667,-403.000000
5.25000000,-402.000000
5.25833333,-403.000000
5.26666667,-401.000000
5.27500000,-402.000000
5.28333333,-402.000000
5.29166667,-405.000000
5.30000000,-401.000000
5.30833333,-401.000000
5.31666667,-405.000000
5.32500000,-402.000000
5.33333333,-404.000000
5.34166667,-401.000000
5.35000000,-404.000000
5.35833333,-402.000000
5.36666667,-403.000000
5.37500000,-402.000000
5.38333333,-403.000000
5.39166667,-402.000000
5.40000000,-402.000000
5.40833333,-402.000000
5.41666667,-401.000000
5.42500000,-401.000000
5.43333333,-400.000000
5.44166667,-401.000000
5.45000000,-401.000000
5.45833333,-401.000000
5.46666667,-402.000000
5.47500000,-354.000000
5.48333333,-353.000000
5.49166667,-355.000000
5.50000000,-355.000000
5.50833333,-356.000000
5.51666667,-355.000000
5.52500000,-356.000000
5.53333333,-354.000000
5.54166667,-354.000000
5.55000000,-355.000000
5.55833333,-404.000000
5.56666667,-404.000000
5.57500000,-403.000000
5.58333333,-402.000000
5.59166667,-401.000000
5.60000000,-401.000000
5.60833333,-403.000000
5.61666667,-402.000000
5.62500000,-402.000000
5.63333333,-403.000000
5.64166667,-401.000000
5.65000000,-403.000000
5.65833333,-401.000000
5.66666667,-401.000000
5.67500000,-402.000000
5.68333333,-402.000000
5.69166667,-402.000000
5.70000000,-401.000000
5.70833333,-402.000000
5.71666667,-403.000000
5.72500000,-401.000000
5.73333333,-401.000000
5.74166667,-403.000000
5.75000000,-403.000000
5.75833333,-411.000000
5.76666667,-401.000000
5.77500000,-402.000000
5.78333333,-402.000000
5.79166667,-401.000000
5.80000000,-403.000000
5.80833333,-401.000000
5.81666667,-402.000000
5.82500000,-403.000000
5.83333333,-402.000000
5.84166667,-402.000000
5.85000000,-401.000000
5.85833333,-400.000000
5.86666667,-402.000000
5.87500000,-401.000000
5.88333333,-402.000000
5.89166667,-402.000000
5.90000000,-401.000000
5.90833333,-353.000000
5.91666667,-403.000000
5.92500000,-402.000000
5.93333333,-402.000000
5.94166667,-403.000000
5.95000000,-401.000000
5.95833333,-410.000000
5.96666667,-410.000000
5.97500000,-410.000000
5.98333333,-411.000000
5.99166667,-410.000000
6.00000000,-410.000000
6.00833333,-406.000000
6.01666667,-401.000000
6.02500000,-403.000000
6.03333333,-403.000000
6.04166667,-402.000000
6.05000000,-401.000000
6.05833333,-401.000000
6.06666667,-402.000000
6.07500000,-401.000000
6.08333333,-403.000000
6.09166667,-401.000000
6.10000000,-402.000000
6.10833333,-402.000000
6.11666667,-402.000000
6.12500000,-404.000000
6.13333333,-405.000000
6.14166667,-403.000000
6.15000000,-402.000000
6.15833333,-402.000000
6.16666667,-402.000000
6.17500000,-410.000000
6.18333333,-412.000000
6.19166667,-412.000000
6.20000000,-410.000000
6.20833333,-410.000000
6.21666667,-412.000000
6.22500000,-410.000000
6.23333333,-411.000000
6.24166667,-411.000000
6.25000000,-408.000000
6.25833333,-411.000000
6.26666667,-411.000000
6.27500000,-411.000000
6.28333333,-412.000000
6.29166667,-410.000000
6.30000000,-412.000000
6.30833333,-412.000000
6.31666667,-410.000000
6.32500000,-408.000000
6.33333333,-410.000000
6.34166667,-410.000000
6.35000000,-410.000000
6.35833333,-409.000000
6.36666667,-410.000000
6.37500000,-409.000000
6.38333333,-410.000000
6.39166667,-410.000000
6.40000000,-410.000000
6.40833333,-410.000000
6.41666667,-402.000000
6.42500000,-403.000000
6.43333333,-401.000000
6.44166667,-402.000000
6.45000000,-402.000000
6.45833333,-402.000000
6.46666667,-403.000000
6.47500000,-402.000000
6.48333333,-402.000000
6.49166667,-409.000000
6.50000000,-410.000000
6.50833333,-408.000000
6.51666667,-408.000000
6.52500000,-409.000000
6.53333333,-402.000000
6.54166667,-402.000000
6.55000000,-401.000000
6.55833333,-401.000000
6.56666667,-401.000000
6.57500000,-408.000000
6.58333333,-410.000000
6.59166667,-408.000000
6.60000000,-410.000000
6.60833333,-408.000000
6.61666667,-411.000000
6.62500000,-409.000000
6.63333333,-409.000000
6.64166667,-409.000000
6.65000000,-410.000000
6.65833333,-410.000000
6.66666667,-409.000000
6.67500000,-411.000000
6.68333333,-402.000000
6.69166667,-403.000000
6.70000000,-403.000000
6.70833333,-402.000000
6.71666667,-402.000000
6.72500000,-402.000000
6.73333333,-401.000000
6.74166667,-402.000000
6.75000000,-401.000000
6.75833333,-403.000000
6.76666667,-403.000000
6.77500000,-402.000000
6.78333333,-403.000000
6.79166667,-403.000000
6.80000000,-409.000000
6.80833333,-410.000000
6.81666667,-408.000000
6.82500000,-410.000000
6.83333333,-410.000000
6.84166667,-411.000000
6.85000000,-410.000000
6.85833333,-412.000000
6.86666667,-411.000000
6.87500000,-409.000000
6.88333333,-408.000000
6.89166667,-409.000000
6.90000000,-410.000000
6.90833333,-411.000000
6.91666667,-411.000000
6.92500000,-411.000000
6.93333333,-411.000000
6.94166667,-410.000000
6.95000000,-410.000000
6.95833333,-410.000000
6.96666667,-409.000000
6.97500000,-408.000000
6.98333333,-409.000000
6.99166667,-411.000000
7.00000000,-409.000000
7.00833333,-410.000000
7.01666667,-410.000000
7.02500000,-408.000000
7.03333333,-409.000000
7.04166667,-410.000000
7.05000000,-409.000000
7.05833333,-408.000000
7.06666667,-410.000000
7.07500000,-409.000000
7.08333333,-408.000000
7.09166667,-410.000000
7.10000000,-409.000000
7.10833333,-411.000000
7.11666667,-408.000000
7.12500000,-408.000000
7.13333333,-409.000000
7.14166667,-409.000000
7.15000000,-416.000000
7.15833333,-411.000000
7.16666667,-416.000000
7.17500000,-417.000000
7.18333333,-408.000000
7.19166667,-410.000000
7.20000000,-409.000000
7.20833333,-408.000000
7.21666667,-408.000000
7.22500000,-409.000000
7.23333333,-411.000000
7.24166667,-412.000000
7.25000000,-411.000000
7.25833333,-410.000000
7.26666667,-410.000000
7.27500000,-409.000000
7.28333333,-410.000000
7.29166667,-408.000000
7.30000000,-411.000000
7.30833333,-410.000000
7.31666667,-410.000000
7.32500000,-410.000000
7.33333333,-416.000000
7.34166667,-418.000000
7.35000000,-418.000000
7.35833333,-410.000000
7.36666667,-410.000000
7.37500000,-418.000000
7.38333333,-418.000000
7.39166667,-408.000000
7.40000000,-411.000000
7.40833333,-418.000000
7.41666667,-416.000000
7.42500000,-409.000000
7.43333333,-410.000000
7.44166667,-410.000000
7.45000000,-410.000000
7.45833333,-410.000000
7.46666667,-410.000000
7.47500000,-410.000000
7.48333333,-402.000000
7.49166667,-401.000000
7.50000000,-401.000000
7.50833333,-401.000000
7.51666667,-411.000000
7.52500000,-402.000000
7.53333333,-403.000000
7.54166667,-402.000000
7.55000000,-403.000000
7.55833333,-402.000000
7.56666667,-411.000000
7.57500000,-410.000000
7.58333333,-401.000000
7.59166667,-402.000000
7.60000000,-403.000000
7.60833333,-411.000000
7.61666667,-408.000000
7.62500000,-410.000000
7.63333333,-402.000000
7.64166667,-401.000000
7.65000000,-402.000000
7.65833333,-410.000000
7.66666667,-401.000000
7.67500000,-403.000000
7.68333333,-405.000000
7.69166667,-401.000000
7.70000000,-403.000000
7.70833333,-403.000000
7.71666667,-401.000000
7.72500000,-402.000000
7.73333333,-402.000000
7.74166667,-402.000000
7.75000000,-402.000000
7.75833333,-401.000000
7.76666667,-401.000000
7.77500000,-410.000000
7.78333333,-411.000000
7.79166667,-410.000000
7.80000000,-410.000000
7.80833333,-411.000000
7.81666667,-410.000000
7.82500000,-409.000000
7.83333333,-409.000000
7.84166667,-411.000000
7.85000000,-411.000000
7.85833333,-413.000000
7.86666667,-411.000000
7.87500000,-412.000000
7.88333333,-411.000000
7.89166667,-403.000000
7.90000000,-405.000000
7.90833333,-403.000000
7.91666667,-402.000000
7.92500000,-401.000000
7.93333333,-402.000000
7.94166667,-353.000000
7.95000000,-354.000000
7.95833333,-353.000000
7.96666667,-353.000000
7.97500000,-355.000000
7.98333333,-354.000000
7.99166667,-353.000000
8.00000000,-352.000000
8.00833333,-353.000000
8.01666667,-352.000000
8.02500000,-353.000000
8.03333333,-354.000000
8.04166667,-353.000000
8.05000000,-353.000000
8.05833333,-355.000000
8.06666667,-354.000000
8.07500000,-352.000000
8.08333333,-353.000000
8.09166667,-354.000000
8.10000000,-352.000000
8.10833333,-353.000000
8.11666667,-353.000000
8.12500000,-352.000000
8.13333333,-353.000000
8.14166667,-353.000000
8.15000000,-354.000000
8.15833333,-355.000000
8.16666667,-353.000000
8.17500000,-354.000000
8.18333333,-351.000000
8.19166667,-351.000000
8.20000000,-351.000000
8.20833333,-354.000000
8.21666667,-345.000000
8.22500000,-346.000000
8.23333333,-354.000000
8.24166667,-354.000000
8.25000000,-346.000000
8.25833333,-345.000000
8.26666667,-348.000000
8.27500000,-347.000000
8.28333333,-346.000000
8.29166667,-346.000000
8.30000000,-347.000000
8.30833333,-346.000000
8.31666667,-346.000000
8.32500000,-346.000000
8.33333333,-345.000000
8.34166667,-348.000000
8.35000000,-355.000000
8.35833333,-354.000000
8.36666667,-353.000000
8.37500000,-345.000000
